time,team_name,slogan,observation,challenge_definition,product_introduction,team_introduction,self_question,self_answer,link1,link2,agree,name1,role1,name2,role2,name3,role3,name4,role4,name5,role5,name6,role6,folder_name,field,team_id,link1_name,link2_name,isTen,q1,a1,q2,a2,q3,a3,q4,a4
2017/2/13 上午 1:32:28,SWTeam,"讓震顫患者自行用餐不潑灑，
重拾自信與尊嚴！",帕金森、失智、中風或神經退化患者，因手抖導致食物灑落一桌且難以自行用餐，靠人餵食生活自理能力降低，也增加退化速度。難以自行用餐、長期食慾不振而營養不良、疾病纏身；缺乏自信不敢外出用餐，封閉交友圈；因此足不出戶，更導致多數患者長期憂鬱。震顫族群全球上億，震顫患者因生理造成心理問題！家人也備感壓力、艱辛。,讓震顫患者用餐不再潑灑滿身滿桌，自行用餐享受營養美食，參與社交聚餐走出憂鬱封閉。,"S1：讓震顫患者不再潑灑滿身滿桌，讓患者能自行用餐不靠他人餵食，提升患者自信與生活品質！
患者外出用餐不再恐懼成為眾人目光！能享受美食、營養均衡，不再疾病纏身，讓患者參與社交聚餐，走出憂鬱封閉人生。","大家好！我們是來自不同領域的團隊，
我們在醫院、養老院看見這些患者的困難，期盼幫助他們重拾彩色人生！",參賽初衷及長遠目標？,"我們在醫院、養老院看見這些震顫患者的不便和難處，因此投入許多時間心力研發，
去醫院養老院找患者測試，我們希望有資金把S1做出來，能夠早日量產，
減輕病患家屬負擔，更讓每個震顫患者不再受困於震顫，都能開心享用美食、社交！
SWTeam期盼：就算世上貧窮國家的患者，也能幫助他們。",,,否，僅部分成員同意公開。,Lilly,醫學、藥學顧問,Henry,研發工程師,James,整合工程師,Ran,商業模式策略,Vanessa,市場策略整合,Louis,行銷企劃師,https://drive.google.com/drive/folders/0B7QfKDF2zn2uNGIzeXNra2F0eEU,hc,hc_62,,,1,參賽初衷及長遠目標？,我們在醫院、養老院看見這些震顫患者的不便和難處，因此投入許多時間心力研發，去醫院養老院找患者測試，我們希望有資金把S1做出來，能夠早日量產，減輕病患家屬負擔，更讓每個震顫患者不再受困於震顫，都能開心享用美食、社交！SWTeam期盼：就算世上貧窮國家的患者，也能幫助他們。,會用哪三個形容詞形容團隊？,我們認為是「信任」、「互補」、「朝共同目標前進」。團隊成員來自不同領域，這讓我們以不同的觀點看見問題的不同面向，截長補短，這在產品開發過程中尤其重要。成員本來就互相認識，能夠了解每一個人能夠發揮的特長，在團隊中各自扮演好自己的角色。,創業過程印象最深刻的一件事？,當我們將產品實際拿給患者使用後，病患因為終於能夠自己吃飯，而露出的喜悅的表情，這讓我們非常感動。也讓我們更加堅定這個理想，要將產品持續優化。,如果人生可以重來，還會選擇創業嗎？,還是會再次選擇創業！我們不只幫助病患，也幫助家屬。此病症無法治癒，患者其實每天都在遭受這樣的痛苦。我們想讓每位患者都能重拾尊嚴，再度擁有彩色人生！幫助更多的病患，改變世界是我們的夢想。
2017/2/13 上午 8:06:47,Roboeyes,"把物理與數學當成好玩的遊戲，
能順便解決真實的問題那就更好了",關於各項解決行車安全的方案中，有一種所謂的「環景鳥瞰系統」，是這五年來很熱門的產品化項目。但是在產業演進的過程中，我們發現全部的主流供應商（包含世界級的大廠，如：荷蘭恩智浦、美國飛思卡爾、德州儀器以及日本瑞薩）所提供的方案都無法滿足汽車產業。車廠需要的不只是單純的軟硬體產品，而是產銷與維護的服務供應。這讓簡單的產品銷售變成一套完整後勤體系的培育，但汽車產業的全球化卻使得整個過程變得異常棘手。,我們發現，真正的問題在於「環景系統的建置過於倚賴經驗法則，使得服務標準化難以成形。」,"「理想的」車用產品供應，必須同時包含前端的銷售與後端的維修。這其中有更隱晦的需求，不能標準化的產品就不能保修；所以我們針對環景系統的安裝與保修提供標準化流程，其中標準化的內容，包含前端的光學模組校正與返修條件、中端的系統選擇與規格整合一直到後端的店頭場地布置。

我們服務的關鍵在於光學計算領域中的新發展，現代化的電腦讓十年前原本很昂貴的計算變得可行，這些光學技術的應用使得我們能適應各種現成的商品，而不再需要供應商修改設計以適應基礎理論的匱乏。",我們的團隊滿足四個要件：對車用技術領域很熟悉，對光學技術很熟悉，知道產業競合以及具有成熟的財務網路。,參賽初衷是什麼？,"我們參賽的初衷，是想要在一堆理不清的頭緒當中，找到一組可以錨定計畫時程的標的物；因為我們嘗試過一陣子，發現直接接觸潛在客戶並不正確，太容易被眼前的客戶回饋所左右，反而變得沒有方向。因此我們將台大創創視為推銷理念的第一個客觀第三者，
看看到底我們所陳述的東西是不是能被我們以外的人們所接受。",,,否，僅部分成員同意公開。,李尚真,系統架構師,吳炳琨,第一研究員,,,,,,,,,我們目前沒有這些東西，怎麼辦？,sl,sl_27,,,0,參賽初衷是什麼？,"我們參賽的初衷，是想要在一堆理不清的頭緒當中，找到一組可以錨定計畫時程的標的物；因為我們嘗試過一陣子，發現直接接觸潛在客戶並不正確，太容易被眼前的客戶回饋所左右，反而變得沒有方向。因此我們將台大創創視為推銷理念的第一個客觀第三者，
看看到底我們所陳述的東西是不是能被我們以外的人們所接受。",,,,,,
2017/2/13 下午 12:28:53,PicMemory拾時,重拾過去的美好時光,失智症在認知、記憶以及語言能力有逐漸退化的情況，目前治療的方法多採用懷舊治療，讓失智長者回想自身的回憶，建立良好的身心狀態來延緩認知與記憶的持續退化。然而回想過程中，長輩珍貴的生命故事，目前並沒有完善的保存機制。同時我們更進一步發現，懷舊治療的素材難以個人化與重複使用。,我們發現，真正的問題在於如何引導長輩說出生命故事並且以最自然的方式去記錄與保存？,PicMemory 讓生命故事能夠以更自然且溫暖的方式去保存與回憶。PicMemory 是讓照片與聲音能夠與家人、長輩互動分享的服務，並且保存珍藏著這些記憶片段。我們認為照片是家族記憶的畫面縮影，聲音是家族互動的情感傳達，文字則是家族事件的故事闡述。而 PicMemory 將以照片作為家庭互動的媒介，引導家族成員在照片上傳遞聲音訊息，並且自動產生溫馨的生命故事回顧影片。因此，PicMemory能在自然的分享過程中完成家族記憶的保存，記錄下來的故事內容，更能夠創造家族獨有的回憶脈絡。,"一群致力於銀髮族應用服務開發的工程師與設計師，
希望能透過更友善的科技服務提供長輩更友善的科技環境。",創業至今最大的收穫？,這條路上我們專注於為銀髮族與失智症長輩提供更好的科技服務，也因此認識了很多擁有共同方向與理念的朋友與夥伴。除了可以共同討論與合作之外，也讓我們知道這條路是值得前往且有夥伴同行的。無論成功與否，有夥伴同行就是最大的收穫。,https://www.facebook.com/picmemorytw/,,是，全部成員皆同意公開。,"李泓其 
Hung-Chi Lee",Project Lead,"曾思維 
Wei Tseng",Interaction Designer,"簡伯勳 
Alan Chien",Android Designer,"王怡婷 
YiTing Wang",Project Manager,"林俊廷 
Jyun-Ting Lin",UI Designer,,,https://drive.google.com/open?id=0ByIk4ulGYGCucmp3SXZRb2pmOW8,hc,hc_61,粉絲專頁,,0,創業至今最大的收穫？,這條路上我們專注於為銀髮族與失智症長輩提供更好的科技服務，也因此認識了很多擁有共同方向與理念的朋友與夥伴。除了可以共同討論與合作之外，也讓我們知道這條路是值得前往且有夥伴同行的。無論成功與否，有夥伴同行就是最大的收穫。,,,,,,
2017/2/14 下午 10:05:50,家攬,"專門為移工舉辦一日遊的組織，
期許能「像家一樣攬著他們」","每當我們假日來到台北車站大廳，總是可以看到一群東南亞籍移工在這裡與朋友聊天、吃飯、約會，在這裡他們能擺脫平日繁瑣重複的工作。

但是台灣人往往覺得他們為當地製造髒亂、吵鬧並避之唯恐不及，這些歧視與刻板印象導致兩個族群間的不友善與不信任，更加使得移工社群的封閉排外，這樣的現象不是一個自詡多元友善的國家所樂見。

因此我們在做過使用者訪談之後，發現了他們的旅遊需求尚未滿足，這是此現象需要被解決之因。",我們發現，真正的問題在於我們要滿足移工在異鄉的旅遊需求。,我們最終選擇了針對東南亞移工的客製化一日遊服務。因為首先，藉由讓互相認識的朋友聯絡感情、不認識的人成為朋友，旅行團能提供歸屬感；再來，我們會事先安排好適當的景點、交通工具、會講印尼語的導遊，移工可以完全不用煩惱旅遊資訊不足、語言不通的問題，盡情遊玩放鬆；最後，藉由客製化的行程，我們會尊重移工的宗教信仰，訂購或推薦適合的餐點，並帶領他們循序漸進了解台灣的地方文化，使得他們能更加融入這塊土地。我們的核心價值就是站在移工的角度為他們規劃最適當的行程。,"我們團隊的特質是熱情、積極、開放，我們希望夠像「家」一樣接納、
包容來自各地的東南亞移工。",參賽至今最大的挑戰？,"最大的挑戰是融入移工社群並宣傳我們的旅遊服務，幾個週末下來到台北車站的推廣相當使我們氣餒，因為移工對台灣人的不信任，我們往往必須與他們深聊許久才能使他們對我們的服務感興趣，宣傳日的一個下午下來我們往往未能擁有大量的接觸人數，
但儘管如此，我們還是透過粉專抽獎等方式持續努力並在後續的宣傳上愈來愈順手。",https://www.facebook.com/Jalan-272525176497172/?fref=ts,,是，全部成員皆同意公開。,李逸婕,隊長,馮曉雯,人力資源,邱淇銘,財務,陳屏瑋,企劃,,,,,https://drive.google.com/drive/folders/0B57moi65qDk8SlFlWHVPZlpWLU0?usp=sharing,sy,sy_70,粉絲專頁,,0,參賽至今最大的挑戰？,"最大的挑戰是融入移工社群並宣傳我們的旅遊服務，幾個週末下來到台北車站的推廣相當使我們氣餒，因為移工對台灣人的不信任，我們往往必須與他們深聊許久才能使他們對我們的服務感興趣，宣傳日的一個下午下來我們往往未能擁有大量的接觸人數，
但儘管如此，我們還是透過粉專抽獎等方式持續努力並在後續的宣傳上愈來愈順手。",,,,,,
2017/2/15 下午 3:54:22,SEA時刻,Your guide of Taiwan,根據勞動部資料，現今移工人數大約60萬人，每當放假時，他們總會出門去透透氣就像當兵一樣。相信大家周末在搭區間車時都會覺得外勞特別多，或者是搭公車時被外勞問路的經驗，他們就跟我們一樣也是有交通運輸的需求，因此我們便從這方面著手，希望以此為基礎，往後可以提供他們全面的資訊。,我們發現，針對移工的網路服務相當的缺乏。,我們現在提供了台鐵時刻表的查詢以及台北、新北的公車動態。希望移工放假時的時間規劃可以更方便，提早得知車班還有多久才會到達，而不用急忙趕到車站。,團隊成員來自不同領域，卻對移工議題抱持相同的理念與興趣。,團隊近期計畫？,增加團隊成員。,https://www.facebook.com/GuideofTW/,,否，僅部分成員同意公開。,Matt,,Krach,,Lisa,,,,,,,,https://www.dropbox.com/s/uffwctnz3rm7suf/SEA%E6%99%82%E5%88%BB.zip?dl=0,sy,sy_09,粉絲專頁,,0,團隊近期計畫？,增加團隊成員。,,,,,,
2017/2/15 下午 4:12:18,天台聚落,透明化居住空間的環境資訊,颱風天都會停水，但住戶不知道水塔還有多少水，所以要把家中全部的水桶都拿來備水，甚至最後發現其實水塔的蓄水量是夠的。又或者經常忘了清洗水塔，等到水流明顯變黃才請專業公司過來清潔，看到水塔內部的狀況才知道自己的水質有多髒，過髒的進水容易造成濾水器的壽命減短。,我們發現，真正的問題在於想要改善一件事情，並需能先觀察、感受、瞭解到真實的情況。,"將感測器整合到現有的水塔蓋，讓住戶只要更換水塔蓋就可以得知水塔內部的狀況，不論是透天/公寓/大樓都可以使用。透過裝設在水塔蓋上的感測裝置，進而實時分析水資源之各項指標，如水量等。 

主要效益在於此方法可即時監測所在區域或建物之水資源變化趨勢，透過低成本之建築設備整合與介面設計，令使用者可即時獲得第一手之生活環境相關訊息，並採取相對應之解決方案，提高生活品質與環境知識。","由5位不同專業背景組成，互為同事、學長學弟與兵役同袍，
對彼此個性熟悉，希望大家共同產出改變社會的產品。",參賽初衷？,"參加台大創創挑戰賽，對我們而言感覺比較像是一種創業教育，而非競賽。
團隊夥伴都有創業的想法，但想法不能只是想法，套用Lean startup的概念，
剛好將這次參賽當作驗證，也因為主辦單位的用心讓我們收穫許多。",,,是，全部成員皆同意公開。,周傳文,領域專家,張源炘,工程師,鍾易峻,工程師,賴姵怡,設計師,孟慶龍,設計師,任衍儒,設計師,https://drive.google.com/open?id=0ByI-Qt2lshKGSE94WjZuelc4WHM,et,et_60,,,0,參賽初衷？,"參加台大創創挑戰賽，對我們而言感覺比較像是一種創業教育，而非競賽。
團隊夥伴都有創業的想法，但想法不能只是想法，套用Lean startup的概念，
剛好將這次參賽當作驗證，也因為主辦單位的用心讓我們收穫許多。",,,,,,
2017/2/15 下午 11:44:49,火柴青年,"只要勇敢踏出第一步，
就有點燃夢想的機會","經過八百份有效問卷調查，有九成的大學生想過去國外進行交換計畫，但每年成功的人數卻只佔總比例的百分之三，有高達百分之八十七的轉換失敗率。

經費不足、成績不符門檻以及學涯安排規劃是學生們三個主要考量點，但有許多的資訊其實並沒有經由國際事務處傳達完整，許多學長姐的交換經驗也沒有良好的傳遞給學弟妹。",我們發現，最大的問題在於學生的自我設限以及身在體制下的無力感。,"火柴青年是一個大學生出國計畫的加速器，透過與學校、教育部、企業和學生之間的合作，推動更多學生能夠跨出熟悉已久的環境，在國外尋找更多的突破、思考自己與世界的關係。

透過國際事務處串連，我們希望開放各校的交換學生經驗、優化申請交換的流程，協助學生找到適合自己的交換計畫。

我們推動更多學生出國探索並帶回國外的經驗，為台灣的體制及環境進行有效率的突破。","合作夥伴遍及不同大學及專長，
團隊的共同理念是希望用一種貼近學生的角度，
進行有創意、實驗性的嘗試。",參賽至今最大被質疑點？,許多人問我們商業模式是否可行，要怎麼賺到錢？我們採取不同階段漸進式的商業模式，剛開始與廣告、學校、海外企業合作，後面的部分以有價值的數據和異業合作為目標。,https://www.facebook.com/taiwanmatcher/?ref=bookmarks,,是，全部成員皆同意公開。,張文飛,"設計師
企劃製作
公關",羅立群,"活動行銷
文案設計",,,,,,,,,https://drive.google.com/drive/folders/0Bwtl-S7H_Bm7UTQzNHZNblpzQ1k?usp=sharing,sy,sy_64,粉絲專頁,,0,參賽至今最大被質疑點？,許多人問我們商業模式是否可行，要怎麼賺到錢？我們採取不同階段漸進式的商業模式，剛開始與廣告、學校、海外企業合作，後面的部分以有價值的數據和異業合作為目標。,,,,,,
2017/2/16 上午 1:00:02,微思維斯,「可穿戴的親密」讓你更性感，也創造前所未有的感受！ 感官珠寶的知覺刺激功能，提升親密體驗。,"情慾為人的基本需求，觀察生活中情侶或伴侶間的互動，發現情慾仍是禁忌議題，大眾對親密關係往往害羞不知如何溝通，也因如此，有些女性並不理解自己的身體，認為滿足男性需求就可以提升親密關係，但男性其實也想了解女性想法。微思團隊從實地訪談與研究發現男女對於情慾需求並不相同，女性較男性為細膩也更重視前戲。

如何提升伴侶之間的親密互動，如何一起追求愉悅？微思希望用優雅的設計來解決「被隱藏的需求」，同時打破傳統情趣商品的刻板印象。",我們發現，最大的問題在於如何將親密互動更加感性的放入日常生活與大眾文化中。,"它讓你更性感，也創造前所未有的感受！

感官珠寶專注於各種知覺感受，如撫摸、氣味、聲音。它是一種具有紀念價值的智慧穿戴，翻轉了傳統情趣商品一貫的「震動回饋」模式。感官珠寶可以在公開場合優雅地配戴，讓個人或情侶更了解自己身體、展現對身體的自信，也提升在親密經驗之前的前戲品質，讓大眾從不同觀點重新思考、經歷情慾。

單人使用：個人感官探索之旅
透過感官珠寶探索自己的身體情緒，增加情趣與驚喜感。

雙人使用：情侶之間的秘密調情暗號
客製化雙方的專屬密碼，產品將會做出回饋和反應，模擬出特定於兩人之間的觸動頻率。","微思維斯團隊成員有著設計與工程兼具的背景，
願意接受新事物與跨領域的衝擊，
從生活中發現設計的可能性！",什麼是情慾科技？而微思又在做什麼呢？,"情慾科技(SexTech)是一種科技，用來促進和創新人們的親密關係。
微思是以幸福為目標的品牌，開發兩性互動新型態情趣精品，衝破情趣市場的既定產品。親密生活不和諧的伴侶關係，主因通常是不了解自己的需要及被動的配合伴侶。
微思鼓勵使用者認識身體、與自己的感官溝通。 
微思的感官珠寶會是伴侶的嶄新選擇。",http://www.wisp.me.uk/,https://www.facebook.com/wispme2016,否，僅部分成員同意公開。,Wan Tseng,打雜兼創辦人,路娟,設計研究員,偉祐,硬體工程師,政琳,助理工程師,徐則,工業設計師,Fly Wang,設計研究員,https://drive.google.com/drive/folders/0B6iUdEHy8XZKY0xMd0FaZFUzc00?usp=sharing,sl,sl_05,官方網站,粉絲專頁,1,什麼是情慾科技？而微思又在做什麼呢？,情慾科技(SexTech)是一種創新科技，用來促進人們的親密關係。微思是以幸福為目標的品牌，開發新型態的兩性互動情趣精品，衝破情趣市場的既有產品。親密生活不和諧的主因通常是不了解自己的需求以及被動的配合伴侶。微思鼓勵使用者認識身體、與自己的感官溝通。 微思的感官珠寶會是伴侶的嶄新選擇。,為什麼想開發這個產品？,親密關係是兩個人的事，如果對性與情慾有不正面的刻板印象，就會羞於談論，或不知道如何溝通，進而造成親密關係上的問題。我們鼓勵女性探索自己的身體，因為社會價值與文化的影響，女性通常比較被動，故希望讓女生以比較不激烈的方式探索自己的身體，進行軟性教育。,為什麼想創業？,以前就一直想要創業，後來的最後一根稻草則是因為環境使然，身旁有許多朋友都在創業。同時也想做自己有興趣的事情，想想看讓一個概念從紙上的草稿變成實品，是非常有成就感的。而當別人的員工可能會做自己不喜歡、無趣的工作，我認為創業是一個完成夢想的過程、自己人生故事的編寫，就算失敗也能學到很多。,對創業的想像是？,創業有很多種方式，而設計出一個從無到有的產品創業是很難的，實現起來也很辛苦，一是沒有資金，且跟電路領域不熟悉，有許多複雜的條件要處理，因為你就是老闆，也要學習和不同廠商、合作對象溝通。創業聽起來輕鬆，但做起來很累，需要慢慢摸索。但這個經歷能學到很多東西，創業一個月學到的可能比工作一年學到的還多，因為能夠幫你的只有你自己。
2017/2/16 上午 8:03:48,Cowabunga,讓每位迎接新生命的父母，專心喜悅就好，副食品讓我們來想辦法,"從迎接寶寶那一刻起，父母就展開了無止盡的未知旅程，總是怕孩子吃不夠、睡不好。回診打預防針時的生長曲線測量像是一張張營養成績單，而這些擔心到了寶寶四個月之後又變得更為複雜，因為寶寶開始需要食用副食品。
現今網路上有太多的育兒資訊，關於如何吃副食品就有許多相悖的理論，偏偏育兒就是這麼感性的事誰也說不準，幸好，關於寶寶營養及良好飲食習慣養成早有科學客觀的標準，Cowabunga將讓它具體實現。",我們發現，真正的問題在於得先做出兼具營養、便利的副食品，提供父母們更好的哺育選擇，才能進一步傳達我們對食的理念及用心。,Ogre提供經營養師設計、醫生認證之副食品產品，除了營養均衡外更能協助寶寶逐步建立良好飲食習慣進一步克服過敏。不同於市售冷凍產品，轉而採用成本更高之冷凍乾燥製作，避免配送過程溫度變化造成影響，也讓父母可以自由將產品帶出門，不必受限場地使用。,團隊由企管人父、行銷未婚男、單身工設男三人組成。 我們年近30，體力還未下坡而經驗正在上坡，正好！,我們想改變什麼？,我們想用新的觀念、製程，製作出更符合新生兒飲食需求的產品，讓父母可以更輕鬆、放心育兒；讓孩子可以在奠基期培養出更健康的體質。,https://www.facebook.com/ogrebabyfood/,,是，全部成員皆同意公開。,王予我,感性人夫,賴根汎,理性未婚男,黃瑞閔,美感單身男,,,,,,,,sl,sl_55,,,1,我們想改變什麼？,我們想用新的觀念、製程，製作出更符合新生兒飲食需求的產品，讓父母可以更輕鬆、放心育兒；讓孩子可以在奠基期培養出更健康的體質。,對創業的認知？覺得創業是甚麼？,創業是完整實現自己的想法，跟工作不一樣，夥伴們覺得OK就去試試，自由度比較高。是一個自我實現的過程，清除自己原本極限的感覺。雖然會有摩擦，但會有很多機會去嘗試原本沒有試過的領域。,如果人生可以重來，還會選擇創業嗎？,還是會創業。因為從小就想做這件事，不會被改變，自己做事跟幫別人工作是完全不一樣的事情，為自己、為周遭夥伴創造是兩件完全不同的事。只不過會希望還是學生的時候就創業，畢業之後要用這些學校資源比較困難。原本對創業沒有很多了解，但過程中可以學很多東西。,台灣的新創環境的看法？,以食品業來說，法規有愈來愈多限制，認證之類的都需要資金，對新創來說很不友善。希望有配套措施，讓新的團隊在符合標準的情況下生產產品。例如HACCP基本費用大概就要四、五百萬。如果可以做個標準廚房，出租給其他新創業者共同使用，那就太好了。
,Visual Force,"Sense the unseen, a game for ALL","「如果我能看得見……。」蕭煌奇⟪你是我的眼⟫是膾炙人口的歌曲，輕易就能在心裡唱起一腔波瀾。然而視障者最真實的想望，又有多少人能夠真切地感受？

王小明（化名）是就讀於台北啟明學校的重度視障男孩。儘管體育室裡的歐洲進口滾球造價不斐，他總是無法像輕度視障同學那樣，平穩而快速地讓球在桌面滾動。學校的體育課不是他最期待的課程之一。腳底那雙球鞋卻還不安地躁動著。

是的，有了VisualForce相伴，生命也許不會完全不同。但我們深信，透過VisualForce之眼，創意與歡笑奔放的世界就在我們眼前。",我們發現，真正的問題在於大多視障者運動，不夠刺激。少數刺激好玩者，卻往往不易取得場地。,"我們想幫助視障者建立自信與有尊嚴的生活。運動是好的開始：一個簡單、好玩且互動性高的運動，能夠讓人快速上手，培養興趣與成就感。

反覆的思忖以後，靈光乍現。「光劍」就是這麼一個有話題性、刺激而互動性十足的遊戲。答案一直都在那裡。

揮劍搏鬥，這項獨特才華出現在每個在公園裡玩耍過的小孩的成長歷程裡，與扮家家酒有同樣深遠的軌跡。A game for ALL恰恰就是這個遊戲裡最特別的地方。透過我們改良的輔具，將視覺訊號轉換為觸覺訊號，玩家藉以辨識。考驗的是觸覺與反應的靈敏度。如此一來，視障者與非視障者可以同台競爭，所有人都能在這個遊戲恰如其分地扮演角色，享受揮擊光劍的刺激快感。",成員跨足電機、牙醫、法律、財金、工管。充滿理想的一群人。,參賽初衷？,得之於人者眾。希望貢獻所學，做一盞黑夜的燈，照亮自己與他人。,,,,,,,,,,,,,,,,,hc,hc_09,,,0,參賽初衷？,得之於人者眾。希望貢獻所學，做一盞黑夜的燈，照亮自己與他人。,,,,,,
